Dataset,Setting,Model_A,Model_B,Acc_A,Acc_B,A_right_B_wrong,A_wrong_B_right,p_raw,p_holm,significant_holm_0.05
Sentiment,zero_shot,llama32-3B,mistral-7B,0.5220680958385876,0.5132408575031526,282,268,0.5793985546354393,1.0,False
Sentiment,zero_shot,llama32-3B,deepseek-8B,0.5220680958385876,0.5081967213114754,286,264,0.3705648685139945,1.0,False
Sentiment,zero_shot,llama32-3B,phi4-14B,0.5220680958385876,0.5983606557377049,162,283,1.0474374318381805e-08,1.0474374318381804e-07,True
Sentiment,zero_shot,llama32-3B,gemma2-27B,0.5220680958385876,0.6204287515762925,140,296,6.20621742029733e-14,8.068082646386528e-13,True
Sentiment,zero_shot,llama32-3B,qwen-72B,0.5220680958385876,0.5807061790668349,187,280,1.9508142161283352e-05,0.00013655699512898347,True
Sentiment,zero_shot,mistral-7B,deepseek-8B,0.5132408575031526,0.5081967213114754,256,248,0.7552243755749016,1.0,False
Sentiment,zero_shot,mistral-7B,phi4-14B,0.5132408575031526,0.5983606557377049,177,312,1.0766213028214011e-09,1.1842834331035412e-08,True
Sentiment,zero_shot,mistral-7B,gemma2-27B,0.5132408575031526,0.6204287515762925,172,342,5.355952211252087e-14,7.498333095752923e-13,True
Sentiment,zero_shot,mistral-7B,qwen-72B,0.5132408575031526,0.5807061790668349,187,294,1.2207250251561516e-06,9.765800201249213e-06,True
Sentiment,zero_shot,deepseek-8B,phi4-14B,0.5081967213114754,0.5983606557377049,166,309,5.224703813944557e-11,6.269644576733468e-10,True
Sentiment,zero_shot,deepseek-8B,gemma2-27B,0.5081967213114754,0.6204287515762925,168,346,3.1085031499926022e-15,4.662754724988903e-14,True
Sentiment,zero_shot,deepseek-8B,qwen-72B,0.5081967213114754,0.5807061790668349,189,304,2.512744635912425e-07,2.2614701723211823e-06,True
Sentiment,zero_shot,phi4-14B,gemma2-27B,0.5983606557377049,0.6204287515762925,97,132,0.024441553274851847,0.12220776637425923,False
Sentiment,zero_shot,phi4-14B,qwen-72B,0.5983606557377049,0.5807061790668349,151,123,0.1026891082279253,0.4107564329117012,False
Sentiment,zero_shot,gemma2-27B,qwen-72B,0.6204287515762925,0.5807061790668349,169,106,0.0001742290713929336,0.0010453744283576017,True
Sentiment,few_shot,llama32-3B,mistral-7B,0.5712484237074401,0.4791929382093317,296,150,4.282567047543592e-12,4.710823752297951e-11,True
Sentiment,few_shot,llama32-3B,deepseek-8B,0.5712484237074401,0.5063051702395964,291,188,2.9027930858496234e-06,2.3222344686796987e-05,True
Sentiment,few_shot,llama32-3B,phi4-14B,0.5712484237074401,0.5832282471626734,196,215,0.37462907848692445,0.37462907848692445,False
Sentiment,few_shot,llama32-3B,gemma2-27B,0.5712484237074401,0.6254728877679697,167,253,3.167043705815031e-05,0.00019002262234890188,True
Sentiment,few_shot,llama32-3B,qwen-72B,0.5712484237074401,0.6027742749054225,183,233,0.016184431866082014,0.08092215933041007,False
Sentiment,few_shot,mistral-7B,deepseek-8B,0.4791929382093317,0.5063051702395964,225,268,0.05843628156855726,0.168182143212309,False
Sentiment,few_shot,mistral-7B,phi4-14B,0.4791929382093317,0.5832282471626734,165,330,1.0052255148250447e-13,1.2062706177900537e-12,True
Sentiment,few_shot,mistral-7B,gemma2-27B,0.4791929382093317,0.6254728877679697,140,372,2.6288743949781717e-25,3.9433115924672576e-24,True
Sentiment,few_shot,mistral-7B,qwen-72B,0.4791929382093317,0.6027742749054225,146,342,3.540355090866733e-19,4.9564971272134264e-18,True
Sentiment,few_shot,deepseek-8B,phi4-14B,0.5063051702395964,0.5832282471626734,165,287,1.0332113246267523e-08,9.298901921640771e-08,True
Sentiment,few_shot,deepseek-8B,gemma2-27B,0.5063051702395964,0.6254728877679697,156,345,1.8683933396011783e-17,2.4289113414815317e-16,True
Sentiment,few_shot,deepseek-8B,qwen-72B,0.5063051702395964,0.6027742749054225,170,323,5.173955067597665e-12,5.1739550675976655e-11,True
Sentiment,few_shot,phi4-14B,gemma2-27B,0.5832282471626734,0.6254728877679697,83,150,1.3490429662094213e-05,9.443300763465949e-05,True
Sentiment,few_shot,phi4-14B,qwen-72B,0.5832282471626734,0.6027742749054225,108,139,0.056060714404103006,0.168182143212309,False
Sentiment,few_shot,gemma2-27B,qwen-72B,0.6254728877679697,0.6027742749054225,130,94,0.01915733886339015,0.08092215933041007,False
Emotion,zero_shot,llama32-3B,mistral-7B,0.4624,0.3696,116,58,1.3051948574184832e-05,7.831169144510899e-05,True
Emotion,zero_shot,llama32-3B,deepseek-8B,0.4624,0.4592,83,81,0.9377905864446687,1.0,False
