Dataset,Setting,Model,Test_Size,Macro_F1,CI_Lower,CI_Upper
Sentiment,zero_shot,llama32-3B,1586,0.4962336716543981,0.4717219071276651,0.5202514947161092
Sentiment,zero_shot,mistral-7B,1586,0.5020474607747928,0.4773444580061159,0.5266045074945869
Sentiment,zero_shot,deepseek-8B,1586,0.49898850154819846,0.4737500979738651,0.5228313022692553
Sentiment,zero_shot,phi4-14B,1586,0.5772506425603069,0.5525850640375977,0.6005746802627605
Sentiment,zero_shot,gemma2-27B,1586,0.5866251745464955,0.5637537305974609,0.6125288276993818
Sentiment,zero_shot,qwen-72B,1586,0.5683788948845954,0.5445037352131449,0.5922234833958103
Sentiment,few_shot,llama32-3B,1586,0.5461008095904718,0.5230639104678676,0.5705990991180321
Sentiment,few_shot,mistral-7B,1586,0.48093996794391797,0.45679801950434823,0.5055699852201523
Sentiment,few_shot,deepseek-8B,1586,0.4946964435974858,0.47129400344808864,0.5182450949779847
Sentiment,few_shot,phi4-14B,1586,0.564443294871333,0.5398474124449285,0.5880766815641193
Sentiment,few_shot,gemma2-27B,1586,0.6067872639406785,0.5837035029396913,0.6317520605541681
Sentiment,few_shot,qwen-72B,1586,0.5881728569614187,0.5645363749849075,0.6111216007971271
Emotion,zero_shot,llama32-3B,625,0.4588396850066678,0.4189737359109046,0.4978638355939521
Emotion,zero_shot,mistral-7B,625,0.36081390784209283,0.3218641924811802,0.3987747484781066
Emotion,zero_shot,deepseek-8B,625,0.4407619477470825,0.40068445964642035,0.4772789971772686
Emotion,zero_shot,phi4-14B,625,0.5988971979188633,0.5628214311762674,0.6327798373718795
Emotion,zero_shot,gemma2-27B,625,0.6180066235466527,0.5795336844800351,0.6538574367701553
Emotion,zero_shot,qwen-72B,625,0.6191166544129283,0.5807784274205781,0.6595771704978021
Emotion,few_shot,llama32-3B,625,0.4635106292207412,0.4183725834168432,0.50222581556959
Emotion,few_shot,mistral-7B,625,0.4517584902509446,0.4083357678822897,0.4918235545808614
Emotion,few_shot,deepseek-8B,625,0.45849723951000776,0.42400049544098345,0.4946740624295328
Emotion,few_shot,phi4-14B,625,0.5789733002506037,0.5422876055592284,0.6102911191583942
Emotion,few_shot,gemma2-27B,625,0.6300545872669162,0.5959099312562586,0.6637126672688315
Emotion,few_shot,qwen-72B,625,0.6680399735640684,0.6311077165181345,0.701653060269669
Hate Speech,zero_shot,llama32-3B,1000,0.5421553278071802,0.5101414576104631,0.5760050550986469
Hate Speech,zero_shot,mistral-7B,1000,0.641929361690905,0.6102509934008029,0.6708897093571087
Hate Speech,zero_shot,deepseek-8B,1000,0.5640297498309669,0.5360488213018741,0.5961385500166617
Hate Speech,zero_shot,phi4-14B,1000,0.7216934397577619,0.69496423007525,0.7489873715205951
Hate Speech,zero_shot,gemma2-27B,1000,0.7611475488148345,0.7337678364341677,0.787087002376681
Hate Speech,zero_shot,qwen-72B,1000,0.7987534730044304,0.7749345509389635,0.8228070368631439
Hate Speech,few_shot,llama32-3B,1000,0.628541377986277,0.5979166054897374,0.6574411023095766
Hate Speech,few_shot,mistral-7B,1000,0.6306894097936364,0.598903572705976,0.6610139228200537
Hate Speech,few_shot,deepseek-8B,1000,0.6146734792122985,0.5845216723177334,0.6451950263266946
Hate Speech,few_shot,phi4-14B,1000,0.7056184246322261,0.6768797591985405,0.7332424277032444
Hate Speech,few_shot,gemma2-27B,1000,0.7338924697781575,0.7055551382225623,0.7604336362375841
Hate Speech,few_shot,qwen-72B,1000,0.7825377840600196,0.7565108910246975,0.8067092299844275
Fake News,zero_shot,llama32-3B,508,0.7771782798896061,0.7420770110264907,0.8109510246427031
Fake News,zero_shot,mistral-7B,508,0.5544721443895243,0.5078876970475017,0.5981798731122657
Fake News,zero_shot,deepseek-8B,508,0.7238916064911872,0.6850159333274253,0.7646548550046626
Fake News,zero_shot,phi4-14B,508,0.7691118989182801,0.7308623043404529,0.8057125593633004
Fake News,zero_shot,gemma2-27B,508,0.8432582536254243,0.808696242332967,0.8737417512504158
Fake News,zero_shot,qwen-72B,508,0.829149108750272,0.7957111343141304,0.8610802850476879
Fake News,few_shot,llama32-3B,508,0.6627170582226762,0.6153772395981805,0.7049345680635294
Fake News,few_shot,mistral-7B,508,0.5892895382020163,0.5467090732396855,0.6324884443269985
Fake News,few_shot,deepseek-8B,508,0.6558995870533892,0.6131289259472699,0.6980092259810746
Fake News,few_shot,phi4-14B,508,0.8147577429334336,0.7763439504290282,0.8479841729964045
Fake News,few_shot,gemma2-27B,508,0.8417351868283545,0.8098405789905088,0.873369602451474
Fake News,few_shot,qwen-72B,508,0.8368017133678387,0.8027545767184158,0.8679836714480398
