Setting,Model,FN_hate_as_nothate,FP_nothate_as_hate,FN_share_of_errors,Predicted_hate_rate,Invalid_output
zero_shot,llama32-3B,340,89,0.7925407925407926,0.249,0
zero_shot,mistral-7B,236,117,0.6685552407932012,0.381,0
zero_shot,deepseek-8B,339,64,0.8411910669975186,0.225,0
zero_shot,phi4-14B,192,83,0.6981818181818182,0.391,0
zero_shot,gemma2-27B,54,181,0.2297872340425532,0.627,0
zero_shot,qwen-72B,83,118,0.4129353233830846,0.535,0
few_shot,llama32-3B,76,280,0.21348314606741572,0.704,0
few_shot,mistral-7B,199,170,0.5392953929539296,0.471,0
few_shot,deepseek-8B,262,115,0.6949602122015915,0.353,0
few_shot,phi4-14B,84,206,0.2896551724137931,0.622,0
few_shot,gemma2-27B,36,221,0.14007782101167315,0.685,0
few_shot,qwen-72B,67,149,0.3101851851851852,0.582,0
