Dataset,Model,Acc_zero,Acc_few,MacroF1_zero,MacroF1_few,few_right_zero_wrong,few_wrong_zero_right,p_raw,p_holm,significant_holm_0.05
Sentiment,llama32-3B,0.5220680958385876,0.5712484237074401,0.4962336716543981,0.5461008095904718,277,199,0.00040556641048919006,0.00892246103076218,True
Sentiment,mistral-7B,0.5132408575031526,0.4791929382093317,0.5020474607747928,0.48093996794391797,142,196,0.0038762402589247436,0.07364856491957013,False
Sentiment,deepseek-8B,0.5081967213114754,0.5063051702395964,0.49898850154819846,0.4946964435974858,218,221,0.9239679043659748,1.0,False
Sentiment,phi4-14B,0.5983606557377049,0.5832282471626734,0.5772506425603069,0.564443294871333,50,74,0.038448497011000386,0.5382789581540054,False
Sentiment,gemma2-27B,0.6204287515762925,0.6254728877679697,0.5866251745464955,0.6067872639406785,74,66,0.5542689157763164,1.0,False
Sentiment,qwen-72B,0.5807061790668349,0.6027742749054225,0.5683788948845954,0.5881728569614187,109,74,0.011751828037832772,0.18802924860532436,False
Emotion,llama32-3B,0.4624,0.4672,0.4588396850066678,0.4635106292207412,129,126,0.9003617801277194,1.0,False
Emotion,mistral-7B,0.3696,0.4624,0.36081390784209283,0.4517584902509446,128,70,4.544338303247265e-05,0.0010906411927793435,True
Emotion,deepseek-8B,0.4592,0.4656,0.4407619477470825,0.45849723951000776,83,79,0.8137534121779036,1.0,False
Emotion,phi4-14B,0.5984,0.56,0.5988971979188633,0.5789733002506037,23,47,0.005582667351023373,0.10048801231842072,False
Emotion,gemma2-27B,0.6176,0.6112,0.6180066235466527,0.6300545872669162,36,40,0.7310088822226056,1.0,False
Emotion,qwen-72B,0.6176,0.6576,0.6191166544129283,0.6680399735640684,57,32,0.010546897231105523,0.1792972529287939,False
Hate Speech,llama32-3B,0.571,0.644,0.5421553278071802,0.628541377986277,264,191,0.000719874647023986,0.015117367587503707,True
Hate Speech,mistral-7B,0.647,0.631,0.641929361690905,0.6306894097936364,82,98,0.26349864484456237,1.0,False
Hate Speech,deepseek-8B,0.597,0.623,0.5640297498309669,0.6146734792122985,153,127,0.1350232075087503,1.0,False
Hate Speech,phi4-14B,0.725,0.71,0.7216934397577619,0.7056184246322261,114,129,0.3691647064718891,1.0,False
Hate Speech,gemma2-27B,0.765,0.743,0.7611475488148345,0.7338924697781575,25,47,0.012774595538064901,0.19161893307097352,False
Hate Speech,qwen-72B,0.799,0.784,0.7987534730044304,0.7825377840600196,25,40,0.08168153394154003,0.9801784072984803,False
Fake News,llama32-3B,0.7775590551181102,0.6929133858267716,0.7771782798896061,0.6627170582226762,47,90,0.00030018185658635524,0.00690418270148617,True
Fake News,mistral-7B,0.6161417322834646,0.6358267716535433,0.5544721443895243,0.5892895382020163,31,21,0.21160856876151612,1.0,False
Fake News,deepseek-8B,0.7244094488188977,0.6732283464566929,0.7238916064911872,0.6558995870533892,74,100,0.05774745529642931,0.750716918853581,False
Fake News,phi4-14B,0.7736220472440944,0.8169291338582677,0.7691118989182801,0.8147577429334336,36,14,0.0026021714567221466,0.05204342913444293,False
Fake News,gemma2-27B,0.844488188976378,0.844488188976378,0.8432582536254243,0.8417351868283545,14,14,1.0,1.0,False
Fake News,qwen-72B,0.8326771653543307,0.8405511811023622,0.829149108750272,0.8368017133678387,12,8,0.5034446716308594,1.0,False
