Dataset,Setting,Model,True,Predicted,Count,Share_of_errors,N_errors,N
senti,zero_shot,llama32-3B,negative,neutral,84,0.11081794195250659,758,1586
senti,zero_shot,llama32-3B,negative,positive,79,0.10422163588390501,758,1586
senti,zero_shot,llama32-3B,neutral,negative,178,0.23482849604221637,758,1586
senti,zero_shot,llama32-3B,neutral,positive,57,0.07519788918205805,758,1586
senti,zero_shot,llama32-3B,positive,negative,206,0.2717678100263852,758,1586
senti,zero_shot,llama32-3B,positive,neutral,154,0.20316622691292877,758,1586
senti,zero_shot,mistral-7B,negative,neutral,178,0.23056994818652848,772,1586
senti,zero_shot,mistral-7B,negative,positive,125,0.16191709844559585,772,1586
senti,zero_shot,mistral-7B,neutral,negative,97,0.12564766839378239,772,1586
senti,zero_shot,mistral-7B,neutral,positive,90,0.11658031088082901,772,1586
senti,zero_shot,mistral-7B,positive,negative,94,0.12176165803108809,772,1586
senti,zero_shot,mistral-7B,positive,neutral,188,0.24352331606217617,772,1586
senti,zero_shot,deepseek-8B,negative,neutral,191,0.24487179487179486,780,1586
senti,zero_shot,deepseek-8B,negative,positive,100,0.1282051282051282,780,1586
senti,zero_shot,deepseek-8B,neutral,negative,105,0.1346153846153846,780,1586
senti,zero_shot,deepseek-8B,neutral,positive,85,0.10897435897435898,780,1586
senti,zero_shot,deepseek-8B,positive,negative,90,0.11538461538461539,780,1586
senti,zero_shot,deepseek-8B,positive,neutral,209,0.26794871794871794,780,1586
senti,zero_shot,phi4-14B,negative,neutral,95,0.14913657770800628,637,1586
senti,zero_shot,phi4-14B,negative,positive,39,0.061224489795918366,637,1586
senti,zero_shot,phi4-14B,neutral,negative,158,0.24803767660910517,637,1586
senti,zero_shot,phi4-14B,neutral,positive,38,0.059654631083202514,637,1586
senti,zero_shot,phi4-14B,positive,negative,124,0.1946624803767661,637,1586
senti,zero_shot,phi4-14B,positive,neutral,183,0.28728414442700156,637,1586
senti,zero_shot,gemma2-27B,negative,neutral,53,0.08803986710963455,602,1586
senti,zero_shot,gemma2-27B,negative,positive,28,0.046511627906976744,602,1586
senti,zero_shot,gemma2-27B,neutral,negative,175,0.29069767441860467,602,1586
senti,zero_shot,gemma2-27B,neutral,positive,45,0.07475083056478406,602,1586
senti,zero_shot,gemma2-27B,positive,negative,143,0.23754152823920266,602,1586
senti,zero_shot,gemma2-27B,positive,neutral,158,0.26245847176079734,602,1586
senti,zero_shot,qwen-72B,negative,neutral,137,0.20601503759398496,665,1586
senti,zero_shot,qwen-72B,negative,positive,16,0.02406015037593985,665,1586
senti,zero_shot,qwen-72B,neutral,negative,141,0.21203007518796993,665,1586
senti,zero_shot,qwen-72B,neutral,positive,34,0.05112781954887218,665,1586
senti,zero_shot,qwen-72B,positive,negative,95,0.14285714285714285,665,1586
senti,zero_shot,qwen-72B,positive,neutral,242,0.36390977443609024,665,1586
senti,few_shot,llama32-3B,negative,neutral,109,0.16029411764705884,680,1586
