Dataset,Setting,Model,N_neg,N_nonneg,ErrRate_neg,ErrRate_nonneg
senti,zero_shot,llama32-3B,606,980,0.48184818481848185,0.47551020408163264
senti,zero_shot,mistral-7B,606,980,0.4933993399339934,0.4826530612244898
senti,zero_shot,deepseek-8B,606,980,0.5016501650165016,0.4857142857142857
senti,zero_shot,phi4-14B,606,980,0.4158415841584158,0.39285714285714285
senti,zero_shot,gemma2-27B,606,980,0.3927392739273927,0.37142857142857144
senti,zero_shot,qwen-72B,606,980,0.41254125412541254,0.42346938775510207
senti,few_shot,llama32-3B,606,980,0.4537953795379538,0.413265306122449
senti,few_shot,mistral-7B,606,980,0.5082508250825083,0.5285714285714286
senti,few_shot,deepseek-8B,606,980,0.5,0.4897959183673469
senti,few_shot,phi4-14B,606,980,0.43234323432343236,0.40714285714285714
senti,few_shot,gemma2-27B,606,980,0.37623762376237624,0.373469387755102
senti,few_shot,qwen-72B,606,980,0.3943894389438944,0.3989795918367347
emo,zero_shot,llama32-3B,262,363,0.5763358778625954,0.509641873278237
emo,zero_shot,mistral-7B,262,363,0.6793893129770993,0.5950413223140496
emo,zero_shot,deepseek-8B,262,363,0.5992366412213741,0.4986225895316804
emo,zero_shot,phi4-14B,262,363,0.45038167938931295,0.36639118457300274
emo,zero_shot,gemma2-27B,262,363,0.4351145038167939,0.3443526170798898
emo,zero_shot,qwen-72B,262,363,0.45038167938931295,0.3333333333333333
emo,few_shot,llama32-3B,262,363,0.5687022900763359,0.5068870523415978
emo,few_shot,mistral-7B,262,363,0.6068702290076335,0.48760330578512395
emo,few_shot,deepseek-8B,262,363,0.6068702290076335,0.4820936639118457
emo,few_shot,phi4-14B,262,363,0.49236641221374045,0.4022038567493113
emo,few_shot,gemma2-27B,262,363,0.4389312977099237,0.3526170798898072
emo,few_shot,qwen-72B,262,363,0.40076335877862596,0.3002754820936639
