Dataset,Setting,Model,Test_Size,Macro_F1,CI_Lower,CI_Upper
emo,zero_shot,qwen-72B,625,0.6191166544129283,0.5807784274205781,0.6595771704978021
emo,zero_shot,gemma2-27B,625,0.6180066235466527,0.5795336844800351,0.6538574367701553
emo,few_shot,qwen-72B,625,0.6680399735640684,0.6311077165181345,0.701653060269669
emo,few_shot,gemma2-27B,625,0.6300545872669162,0.5959099312562586,0.6637126672688315
fake,zero_shot,qwen-72B,508,0.829149108750272,0.7957111343141304,0.8610802850476879
fake,zero_shot,gemma2-27B,508,0.8432582536254243,0.808696242332967,0.8737417512504158
fake,few_shot,qwen-72B,508,0.8368017133678387,0.8027545767184158,0.8679836714480398
fake,few_shot,gemma2-27B,508,0.8417351868283545,0.8098405789905088,0.873369602451474
hate,zero_shot,qwen-72B,1000,0.7987534730044304,0.7749345509389635,0.8228070368631439
hate,zero_shot,gemma2-27B,1000,0.7611475488148345,0.7337678364341677,0.787087002376681
hate,few_shot,qwen-72B,1000,0.7825377840600196,0.7565108910246975,0.8067092299844275
hate,few_shot,gemma2-27B,1000,0.7338924697781575,0.7055551382225623,0.7604336362375841
senti,zero_shot,qwen-72B,1586,0.5683788948845954,0.5445037352131449,0.5922234833958103
senti,zero_shot,gemma2-27B,1586,0.5866251745464955,0.5637537305974609,0.6125288276993818
senti,few_shot,qwen-72B,1586,0.5881728569614187,0.5645363749849075,0.6111216007971271
senti,few_shot,gemma2-27B,1586,0.6067872639406785,0.5837035029396913,0.6317520605541681
